X,Y,room_id,host_id,room_type,country,city,neighborho,address,reviews,overall_sa,accommodat,bedrooms,bathrooms,price,deleted,minstay,timestamp,latitude,longitude,survey_i
-71.098706,42.375207,4250289,21420925,Private room,United States,Cambridge,Cambridge,Oak Street,32,5.000000000000000,2,1,1.000000000000000,100,0,2,05:29.0,42.375207000000003,-71.098706000000007,1
-71.098706,42.375207,4250289,21420925,Private room,United States,Cambridge,Cambridge,Oak Street,32,5.000000000000000,2,1,1.000000000000000,100,0,2,11:27.1,42.375207000000003,-71.098706000000007,2
-71.116116,42.399566,2606519,5099324,Private room,United States,Somerville,Somerville,Bay State Avenue,32,4.500000000000000,2,1,1.000000000000000,50,0,2,43:45.6,42.399566000000000,-71.116116000000005,2
-71.082982,42.384088,5525432,15154687,Private room,United States,Somerville,Somerville,Myrtle Street,31,4.500000000000000,2,1,2.000000000000000,65,0,1,40:10.8,42.384087999999998,-71.082982000000001,2
-71.092013,42.389107,984992,342545,Private room,United States,Somerville,Somerville,Wellington Avenue,31,4.500000000000000,2,1,2.000000000000000,75,0,2,33:33.9,42.389107000000003,-71.092012999999994,2
-71.106655,42.394222,969177,2870684,Entire home/apt,United States,Somerville,Somerville,Murdock Street,31,4.500000000000000,4,1,1.000000000000000,165,0,2,24:42.2,42.394221999999999,-71.106655000000003,2
-71.092768,42.392661,5184109,22455857,Shared room,United States,Somerville,Somerville,Marshall Street,31,5.000000000000000,1,1,1.000000000000000,40,0,1,18:00.9,42.392660999999997,-71.092768000000007,2
-71.098773,42.375382,4358924,21420925,Private room,United States,Cambridge,"Oak St, Cambridg",Oak St,30,5.000000000000000,2,1,1.000000000000000,100,0,2,46:26.1,42.375382000000002,-71.098772999999994,1
-71.098773,42.375382,4358924,21420925,Private room,United States,Cambridge,"Oak St, Cambridg",Oak St,30,5.000000000000000,2,1,1.000000000000000,100,0,2,57:36.5,42.375382000000002,-71.098772999999994,2
-71.091983,42.388032,143775,262183,Private room,United States,Somerville,Somerville,Walnut St,30,5.000000000000000,1,1,1.000000000000000,55,0,3,43:34.5,42.388032000000003,-71.091982999999999,2
-71.082859,42.382997,5525556,15154687,Private room,United States,Somerville,Somerville,Myrtle Street,29,4.500000000000000,2,1,2.000000000000000,65,0,1,23:10.8,42.382997000000003,-71.082858999999999,2
-71.103892,42.376665,4051199,13637412,Private room,United States,Somerville,Somerville,Calvin Street,29,4.500000000000000,2,1,1.000000000000000,78,0,1,45:24.5,42.376665000000003,-71.103892000000002,2
-71.088337,42.385251,4517702,1283215,Private room,United States,Somerville,Somerville,R Rush St,28,4.500000000000000,3,1,1.500000000000000,75,0,,49:29.5,42.385250999999997,-71.088336999999996,2
-71.110816,42.387774,3874045,1781788,Private room,United States,Somerville,"Craigie Street, Somervill",Craigie Street,28,5.000000000000000,2,1,1.000000000000000,84,0,,22:40.6,42.387774000000000,-71.110816000000000,2
-71.084886,42.38442,4510711,15154687,Private room,United States,Somerville,Somerville,Myrtle Street,28,4.500000000000000,2,1,1.500000000000000,65,0,1,27:21.3,42.384419999999999,-71.084885999999997,2
-71.11544,42.39046,4151933,7291625,Entire home/apt,United States,Somerville,Somerville,Hancock Street,28,5.000000000000000,,3,1.500000000000000,200,0,2,16:38.3,42.390459999999997,-71.115440000000007,2
-71.091464,42.391213,3912738,3116404,Private room,United States,Somerville,Somerville,Sargent Avenue,27,4.500000000000000,2,1,1.000000000000000,89,0,1,53:28.1,42.391213000000000,-71.091464000000002,2
-71.105016,42.38108,431549,2033237,Private room,United States,Somerville,Somerville,Nevada Ave,26,5.000000000000000,2,1,1.000000000000000,89,0,2,52:19.1,42.381079999999997,-71.105016000000006,2
-71.084244,42.384296,5446995,15154687,Private room,United States,Somerville,Somerville,Myrtle Street,26,4.500000000000000,2,1,1.500000000000000,65,0,1,57:10.1,42.384295999999999,-71.084243999999998,2
-71.119717,42.40104,720486,1350988,Private room,United States,Somerville,Somerville,Broadway,26,5.000000000000000,2,1,1.000000000000000,75,0,2,38:32.6,42.401040000000002,-71.119716999999994,2
-71.083976,42.383271,4532631,15154687,Private room,United States,Somerville,Somerville,Myrtle Street,26,4.500000000000000,2,1,1.500000000000000,65,0,1,30:00.3,42.383271000000001,-71.083976000000007,2
-71.083826,42.384393,5525486,15154687,Private room,United States,Somerville,Somerville,Myrtle Street,25,4.500000000000000,1,1,2.000000000000000,55,0,1,50:11.7,42.384393000000003,-71.083826000000002,2
-71.082886,42.38314,5525121,15154687,Private room,United States,Somerville,Somerville,Myrtle Street,25,4.500000000000000,2,1,2.000000000000000,65,0,1,37:00.6,42.383139999999997,-71.082886000000002,2
-71.090908,42.38527,4653521,10796266,Private room,United States,Somerville,Somerville,Aldrich Street,25,4.500000000000000,2,1,1.500000000000000,110,0,2,12:56.3,42.385269999999998,-71.090907999999999,2
-71.120155,42.396879,3996995,7051490,Entire home/apt,United States,Somerville,Somerville,Highland Avenue,25,4.500000000000000,4,1,1.000000000000000,125,0,2,28:17.4,42.396878999999998,-71.120154999999997,2
-71.12847,42.400616,4183282,17823057,Entire home/apt,United States,Somerville,Somerville,Moore Street,25,4.500000000000000,2,1,1.000000000000000,105,0,2,00:50.7,42.400615999999999,-71.128469999999993,2
-71.114085,42.393503,3224544,16324777,Entire home/apt,United States,Somerville,Somerville,Highland Avenue,25,5.000000000000000,4,2,1.000000000000000,175,0,1,31:58.7,42.393503000000003,-71.114085000000003,2
-71.111132,42.386492,4404809,22866003,Private room,United States,Somerville,Somerville,Ibbetson Street,24,4.500000000000000,2,1,2.000000000000000,89,0,1,15:31.6,42.386491999999997,-71.111131999999998,2
-71.097629,42.3776,4279231,9563463,Private room,United States,Somerville,Somerville,Concord Avenue,24,5.000000000000000,2,1,0.500000000000000,99,0,1,52:03.1,42.377600000000001,-71.097628999999998,2
-71.101014,42.384773,697705,3575072,Entire home/apt,United States,Somerville,Somerville,Bow St,24,5.000000000000000,5,2,1.000000000000000,250,0,2,08:42.9,42.384773000000003,-71.101014000000006,2
-71.12713,42.398485,46772,88406,Private room,United States,Somerville,Somerville,Gorham St,23,5.000000000000000,1,1,,80,0,1,29:24.1,42.398485000000001,-71.127129999999994,2
-71.106468,42.381313,584605,2771437,Entire home/apt,United States,Somerville,Somerville,Hanson St,23,4.500000000000000,2,1,1.000000000000000,80,0,2,59:23.1,42.381312999999999,-71.106468000000007,2
